metric,tool,size,n,mean,median,std,iqr,min,max,cv
M7,rspack,xl-5000,1,2,2,0,0,2,2,0
M7,vite,xl-5000,1,3,3,0,0,3,3,0
M7,webpack,xl-5000,1,1,1,0,0,1,1,0
M7,esbuild,xs-50,1,5,5,0,0,5,5,0
M7,rollup,xs-50,1,5,5,0,0,5,5,0
M7,rspack,xs-50,1,1,1,0,0,1,1,0
M7,vite,xs-50,1,1,1,0,0,1,1,0
M7,webpack,xs-50,1,1,1,0,0,1,1,0
M7,esbuild,bp-react,1,24,24,0,0,24,24,0
M7,rollup,bp-react,1,20,20,0,0,20,20,0
M7,rspack,bp-react,1,14,14,0,0,14,14,0
M7,vite,bp-react,1,20,20,0,0,20,20,0
M7,webpack,bp-react,1,14,14,0,0,14,14,0
M8,esbuild,l-2000,1,50,50,0,0,50,50,0
M8,rollup,l-2000,1,6,6,0,0,6,6,0
M8,rspack,l-2000,1,5,5,0,0,5,5,0
M8,vite,l-2000,1,34,34,0,0,34,34,0
M8,webpack,l-2000,1,6,6,0,0,6,6,0
M8,esbuild,m-500,1,31,31,0,0,31,31,0
M8,rollup,m-500,1,6,6,0,0,6,6,0
M8,rspack,m-500,1,5,5,0,0,5,5,0
M8,vite,m-500,1,19,19,0,0,19,19,0
M8,webpack,m-500,1,6,6,0,0,6,6,0
M8,esbuild,s-200,1,10,10,0,0,10,10,0
M8,rollup,s-200,1,5,5,0,0,5,5,0
M8,rspack,s-200,1,4,4,0,0,4,4,0
M8,vite,s-200,1,5,5,0,0,5,5,0
M8,webpack,s-200,1,5,5,0,0,5,5,0
M8,esbuild,xl-5000,1,119,119,0,0,119,119,0
M8,rollup,xl-5000,1,13,13,0,0,13,13,0
M8,rspack,xl-5000,1,12,12,0,0,12,12,0
M8,vite,xl-5000,1,84,84,0,0,84,84,0
M8,webpack,xl-5000,1,13,13,0,0,13,13,0
M8,esbuild,xs-50,1,1,1,0,0,1,1,0
M8,rollup,xs-50,1,2,2,0,0,2,2,0
M8,rspack,xs-50,1,1,1,0,0,1,1,0
M8,vite,xs-50,1,1,1,0,0,1,1,0
M8,webpack,xs-50,1,2,2,0,0,2,2,0
M8,esbuild,bp-react,1,24,24,0,0,24,24,0
M8,rollup,bp-react,1,20,20,0,0,20,20,0
M8,rspack,bp-react,1,14,14,0,0,14,14,0
M8,vite,bp-react,1,20,20,0,0,20,20,0
M8,webpack,bp-react,1,14,14,0,0,14,14,0
M9,esbuild,l-2000,1,50,50,0,0,50,50,0
M9,rollup,l-2000,1,6,6,0,0,6,6,0
M9,rspack,l-2000,1,5,5,0,0,5,5,0
M9,vite,l-2000,1,34,34,0,0,34,34,0
M9,webpack,l-2000,1,6,6,0,0,6,6,0
M9,esbuild,m-500,1,31,31,0,0,31,31,0
M9,rollup,m-500,1,6,6,0,0,6,6,0
M9,rspack,m-500,1,5,5,0,0,5,5,0
M9,vite,m-500,1,19,19,0,0,19,19,0
M9,webpack,m-500,1,6,6,0,0,6,6,0
M9,esbuild,s-200,1,10,10,0,0,10,10,0
M9,rollup,s-200,1,5,5,0,0,5,5,0
M9,rspack,s-200,1,4,4,0,0,4,4,0
M9,vite,s-200,1,5,5,0,0,5,5,0
M9,webpack,s-200,1,5,5,0,0,5,5,0
M9,esbuild,xl-5000,1,119,119,0,0,119,119,0
M9,rollup,xl-5000,1,13,13,0,0,13,13,0
M9,rspack,xl-5000,1,12,12,0,0,12,12,0
M9,vite,xl-5000,1,84,84,0,0,84,84,0
M9,webpack,xl-5000,1,13,13,0,0,13,13,0
M9,esbuild,xs-50,1,1,1,0,0,1,1,0
M9,rollup,xs-50,1,2,2,0,0,2,2,0
M9,rspack,xs-50,1,1,1,0,0,1,1,0
M9,vite,xs-50,1,1,1,0,0,1,1,0
M9,webpack,xs-50,1,2,2,0,0,2,2,0
M9,esbuild,bp-react,1,24,24,0,0,24,24,0
M9,rollup,bp-react,1,20,20,0,0,20,20,0
M9,rspack,bp-react,1,14,14,0,0,14,14,0
M9,vite,bp-react,1,19,19,0,0,19,19,0
M9,webpack,bp-react,1,14,14,0,0,14,14,0
