tier,metric,size,tool,unit_of_analysis,n,mean,median,std,iqr,min,max
tier2,M11,bp-react,esbuild,independent_build,10,0.06,0.06,0,0,0.06,0.06
tier2,M2,bp-react,esbuild,independent_build,10,1092,500,1264.970795,27.5,480,3690
tier2,M5,bp-react,esbuild,five_build_aggregate,1,904678,904678,0,0,904678,904678
tier2,M6,bp-react,esbuild,five_build_aggregate,1,285211,285211,0,0,285211,285211
tier2,M8,bp-react,esbuild,five_build_aggregate,1,24,24,0,0,24,24
tier2,M9,bp-react,esbuild,sourcemap_probe,1,100,100,0,0,100,100
tier2,M10,bp-react,rollup,independent_build,10,637.187,640.945,11.759816,8.77,607.84,649.3
tier2,M11,bp-react,rollup,independent_build,10,11.461,11.46,0.07325,0.065,11.3,11.58
tier2,M2,bp-react,rollup,independent_build,10,5822,4215,3688.998057,92.5,4100,15180
tier2,M5,bp-react,rollup,five_build_aggregate,1,633852,633852,0,0,633852,633852
tier2,M6,bp-react,rollup,five_build_aggregate,1,193606,193606,0,0,193606,193606
tier2,M8,bp-react,rollup,five_build_aggregate,1,20,20,0,0,20,20
tier2,M9,bp-react,rollup,sourcemap_probe,1,0,0,0,0,0,0
tier2,M10,bp-react,rspack,independent_build,10,314.701,315.585,5.112317,4.16,306.23,322.16
tier2,M11,bp-react,rspack,independent_build,10,2.086,2,0.143233,0.19,1.97,2.34
tier2,M2,bp-react,rspack,independent_build,10,3652,1920,3853.736426,220,1630,12580
tier2,M5,bp-react,rspack,five_build_aggregate,1,771037,771037,0,0,771037,771037
tier2,M6,bp-react,rspack,five_build_aggregate,1,216419,216419,0,0,216419,216419
tier2,M8,bp-react,rspack,five_build_aggregate,1,14,14,0,0,14,14
tier2,M9,bp-react,rspack,sourcemap_probe,1,100,100,0,0,100,100
tier2,M10,bp-react,vite,independent_build,10,464.349,466.65,12.43888,7.055,431.8,477.03
tier2,M11,bp-react,vite,independent_build,10,2.565,2.495,0.215523,0.035,2.43,3.15
tier2,M2,bp-react,vite,independent_build,10,3914,1980,4764.326232,147.5,1740,16690
tier2,M5,bp-react,vite,five_build_aggregate,1,640913,640913,0,0,640913,640913
tier2,M6,bp-react,vite,five_build_aggregate,1,197169,197169,0,0,197169,197169
tier2,M8,bp-react,vite,five_build_aggregate,1,19,19,0,0,19,19
tier2,M9,bp-react,vite,sourcemap_probe,1,100,100,0,0,100,100
tier2,M10,bp-react,webpack,independent_build,10,1131.187,1153.365,67.21943,72.7875,1008.78,1190.58
tier2,M11,bp-react,webpack,independent_build,10,17.065,17.09,0.506475,0.9125,16.35,17.69
tier2,M2,bp-react,webpack,independent_build,10,9737,6515,7016.053101,317.5,6150,25690
tier2,M5,bp-react,webpack,five_build_aggregate,1,762159,762159,0,0,762159,762159
tier2,M6,bp-react,webpack,five_build_aggregate,1,218951,218951,0,0,218951,218951
tier2,M8,bp-react,webpack,five_build_aggregate,1,14,14,0,0,14,14
tier2,M9,bp-react,webpack,sourcemap_probe,1,100,100,0,0,100,100
tier1,M3,l-2000,esbuild,session_median,5,2184.5,2211,47.287683,76,2124.5,2226
tier1,M3,m-500,esbuild,session_median,5,661.5,662.5,39.036842,13.5,600,707.5
tier1,M3,s-200,esbuild,session_median,5,305.1,305.5,20.069878,30,279.5,327.5
tier1,M3,xl-5000,esbuild,session_median,5,6493.6,6755,658.447549,1134,5669,7079
tier1,M3,xs-50,esbuild,session_median,5,167.2,149.5,36.053086,15,145,230.5
tier1,M3,l-2000,rollup,session_median,5,6229.4,6278.5,113.22842,179,6100.5,6353
tier1,M3,m-500,rollup,session_median,5,2993.7,3080,227.704743,404,2748,3228.5
tier1,M3,s-200,rollup,session_median,5,1445.7,1407.5,93.098469,83.5,1353.5,1591
tier1,M3,xl-5000,rollup,session_median,5,15019.1,15254,1074.693642,1800,13903.5,16293
tier1,M3,xs-50,rollup,session_median,5,1160.4,1154.5,45.294039,41.5,1117.5,1232.5
tier1,M3,l-2000,rspack,session_median,5,169.2,168.5,3.174114,1,166,174.5
tier1,M3,m-500,rspack,session_median,5,83.4,82.5,6.107373,7.5,77.5,92.5
tier1,M4,m-500,rspack,session_median,5,117.9,108,26.159128,37,86.5,148
tier1,M3,s-200,rspack,session_median,5,56.6,54,5.308013,1.5,53.5,66
tier1,M3,xl-5000,rspack,session_median,5,348.9,351.5,9.555103,12,334.5,357.5
tier1,M4,xl-5000,rspack,session_median,5,385.9,376.5,28.074455,34.5,361,428.5
tier1,M3,xs-50,rspack,session_median,5,51.3,52.5,2.361144,4,48.5,53.5
tier1,M4,xs-50,rspack,session_median,5,95.2,95.5,3.598611,1.5,90.5,100.5
tier1,M3,l-2000,vite,session_median,5,3174.5,3011.5,381.52703,71.5,2918.5,3849
tier1,M3,m-500,vite,session_median,5,1642.1,1649,100.34341,116,1515.5,1774
tier1,M4,m-500,vite,session_median,5,86.7,84.5,25.220527,27.5,49.5,113
tier1,M3,s-200,vite,session_median,5,820.4,816.5,30.017495,48,784.5,854
tier1,M3,xl-5000,vite,session_median,5,4846.2,4598.5,358.341422,630,4558,5248.5
tier1,M4,xl-5000,vite,session_median,5,96.5,80.5,34.179672,20,71,155
tier1,M3,xs-50,vite,session_median,5,355.6,351.5,17.140595,11,343.5,385
tier1,M4,xs-50,vite,session_median,5,72.1,77,11.965576,14.5,53.5,81.5
tier1,M3,l-2000,webpack,session_median,5,1472.1,1461,31.576099,37.5,1437,1516
tier1,M3,m-500,webpack,session_median,5,388.9,385.5,8.088572,7.5,381,401.5
tier1,M4,m-500,webpack,session_median,5,443.9,445,4.929503,5,438.5,451
tier1,M3,s-200,webpack,session_median,5,197.6,206,16.37605,17.5,171.5,210
tier1,M3,xl-5000,webpack,session_median,5,3729.6,3818.5,213.129479,317,3480,3970.5
tier1,M4,xl-5000,webpack,session_median,5,4487.3,4323.5,452.18865,61.5,4212,5291.5
tier1,M3,xs-50,webpack,session_median,5,130.5,129,16.792856,18,113.5,156
tier1,M4,xs-50,webpack,session_median,5,155.3,153,12.828679,18.5,140.5,171.5
tier2,M4,bp-react,rspack,session_median,5,122.8,124,3.978065,4.5,116.5,126
tier2,M4,bp-react,vite,session_median,5,94.3,102.5,34.421287,37.5,45,133.5
tier2,M4,bp-react,webpack,session_median,5,230.9,231,4.435651,1,224.5,237
